,PAIR,Common Freq,f1,f1 h1,f1 h2,f1 h3,f2,f2 h1,f2 h2,f2 h3,spectroid_shift,virtual_shift,top_pitch_hz,top_pitch_harmonic,top_pitch_mel,top_pitch_distance_mel,min_ihd,max_ihd,min_ahd,max_ahd
19,20,,71.43,5,6,7,62.5,6,7,8,0.4002004417944107,-2.3120871786561423,500.01000000000005,7.0,7.5001500000000005,6.428700000000001,0.3566218773812295,5.824775682695503,0.3566218773812295,2.668362812689992
20,21,,55.56,7,8,9,50.0,8,9,10,0.23287063813570796,-1.8254220531833312,500.04,9.0,7.5005999999999995,6.667199999999999,0.21367796412442885,4.349456020773772,0.21367796412442885,2.037715085465024
21,22,,180.0,3,4,5,150.0,4,5,6,0.8435871299944893,-3.156412870005525,900.0,5.0,13.499999999999998,10.799999999999999,0.7067242686428301,8.843587129994475,0.7067242686428301,3.156412870005525
22,23,,128.6,5,6,7,112.5,6,7,8,0.39669992576797597,-2.315587694682563,900.1999999999999,7.0,13.502999999999998,11.573999999999998,0.35312136135479477,5.821275166669082,0.35312136135479477,2.664862296663543
23,24,,100.0,7,8,9,90.0,8,9,10,0.2342555699784299,-1.824037121340595,900.0,9.0,13.499999999999998,11.999999999999998,0.21506289596715078,4.350840952616508,0.21506289596715078,1.8240371213406092
24,25,,280.0,3,4,5,233.3,4,5,6,0.8411137618224274,-3.1588862381775655,1400.0,5.0,19.894015096672796,15.694015096672796,0.7042509004707824,8.841113761822442,0.7042509004707824,3.8606637704763216
25,26,,200.0,5,6,7,175.0,6,7,8,0.4005466851417765,-2.311740935308741,1400.0,7.0,19.894015096672796,16.894015096672796,0.3569681207286095,5.825121926042897,0.3569681207286095,2.3117409353087623
26,27,,155.6,7,8,9,140.0,8,9,10,0.2293098934726885,-1.8289827978463506,1400.3999999999999,9.0,19.898170239825117,17.564170239825117,0.21011721946140938,4.3458952761107525,0.21011721946140938,2.03415434080199
27,28,,440.0,3,4,5,366.7,4,5,6,0.8451609075957265,-3.1548390924042735,2200.0,5.0,26.468174204962764,19.868174204962763,0.7082980462440815,8.845160907595712,0.7082980462440815,3.1548390924042735
28,29,,314.3,5,6,7,275.0,6,7,8,0.39975977845813304,-2.3125278419923987,2200.1,7.0,26.468835329869393,21.75433532986939,0.35618121404496605,5.824335019359239,0.35618121404496605,2.6679221493537284
29,30,,244.4,7,8,9,220.0,8,9,10,0.23740355443855776,-1.8208891368804956,2199.6,9.0,26.46552940479077,22.79952940479077,0.21821088042726444,4.353988937076622,0.21821088042726444,1.8208891368804814
